0:0:0:0:0:0:0:1 - - [25/Oct/2021:09:45:14 +0900] "GET /resources/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78196
0:0:0:0:0:0:0:1 - - [25/Oct/2021:09:45:14 +0900] "GET /replies/pages/32/1.json HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [25/Oct/2021:09:47:29 +0900] "GET /board/read?bno=32 HTTP/1.1" 200 24580
0:0:0:0:0:0:0:1 - - [25/Oct/2021:09:47:29 +0900] "GET /resources/js/reply.js?after HTTP/1.1" 200 5130
0:0:0:0:0:0:0:1 - - [25/Oct/2021:09:47:29 +0900] "GET /board/img/undraw_rocket.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Oct/2021:09:47:29 +0900] "GET /board/img/undraw_profile_1.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Oct/2021:09:47:29 +0900] "GET /board/img/undraw_profile_2.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Oct/2021:09:47:29 +0900] "GET /board/img/undraw_profile_3.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Oct/2021:09:47:29 +0900] "GET /board/img/undraw_profile.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Oct/2021:09:47:30 +0900] "GET /replies/pages/32/1.json HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [25/Oct/2021:10:04:46 +0900] "GET /board/read?bno=32 HTTP/1.1" 200 24580
0:0:0:0:0:0:0:1 - - [25/Oct/2021:10:04:46 +0900] "GET /resources/js/reply.js?after HTTP/1.1" 200 5569
0:0:0:0:0:0:0:1 - - [25/Oct/2021:10:04:46 +0900] "GET /board/img/undraw_rocket.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Oct/2021:10:04:46 +0900] "GET /board/img/undraw_profile_1.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Oct/2021:10:04:46 +0900] "GET /board/img/undraw_profile_2.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Oct/2021:10:04:46 +0900] "GET /board/img/undraw_profile_3.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Oct/2021:10:04:46 +0900] "GET /board/img/undraw_profile.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Oct/2021:10:04:46 +0900] "GET /replies/pages/32/1.json HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [25/Oct/2021:10:04:53 +0900] "GET /board/read?bno=32 HTTP/1.1" 200 24580
0:0:0:0:0:0:0:1 - - [25/Oct/2021:10:04:53 +0900] "GET /resources/js/reply.js?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2021:10:04:53 +0900] "GET /board/img/undraw_rocket.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Oct/2021:10:04:53 +0900] "GET /board/img/undraw_profile_1.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Oct/2021:10:04:53 +0900] "GET /board/img/undraw_profile_2.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Oct/2021:10:04:53 +0900] "GET /board/img/undraw_profile_3.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Oct/2021:10:04:53 +0900] "GET /board/img/undraw_profile.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Oct/2021:10:04:53 +0900] "GET /replies/pages/32/1.json HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [25/Oct/2021:10:06:47 +0900] "GET /board/read?bno=32 HTTP/1.1" 200 24580
0:0:0:0:0:0:0:1 - - [25/Oct/2021:10:06:47 +0900] "GET /resources/js/reply.js?after HTTP/1.1" 200 5569
0:0:0:0:0:0:0:1 - - [25/Oct/2021:10:06:47 +0900] "GET /board/img/undraw_rocket.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Oct/2021:10:06:47 +0900] "GET /board/img/undraw_profile_1.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Oct/2021:10:06:47 +0900] "GET /board/img/undraw_profile_2.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Oct/2021:10:06:47 +0900] "GET /board/img/undraw_profile_3.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Oct/2021:10:06:47 +0900] "GET /board/img/undraw_profile.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Oct/2021:10:06:48 +0900] "GET /replies/pages/32/1.json HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [25/Oct/2021:10:11:58 +0900] "GET /board/read?bno=32 HTTP/1.1" 200 24580
0:0:0:0:0:0:0:1 - - [25/Oct/2021:10:11:59 +0900] "GET /resources/js/reply.js?after HTTP/1.1" 200 5579
0:0:0:0:0:0:0:1 - - [25/Oct/2021:10:11:59 +0900] "GET /board/img/undraw_rocket.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Oct/2021:10:11:59 +0900] "GET /board/img/undraw_profile_1.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Oct/2021:10:11:59 +0900] "GET /board/img/undraw_profile_3.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Oct/2021:10:11:59 +0900] "GET /board/img/undraw_profile_2.svg HTTP/1.1" 404 721
